individual_id,age,sex,dominant_genetic_ancestry,self_reported_ethnicity_1,self_reported_ethnicity_2,is_multiselect,self_report_concordant_with_genetics,true_ancestry_frac_African,true_ancestry_frac_European,true_ancestry_frac_East_Asian,true_ancestry_frac_South_Asian,true_ancestry_frac_American_Indigenous,phenotype
IND000001,41.1,M,South Asian,South Asian,,False,True,8.85446969510011e-07,0.06877052279919911,0.02250837156123666,0.9029874497379279,0.005732770454666558,1.7695843909043334
IND000002,82.8,M,East Asian,East Asian,European,True,True,0.06942886540792614,0.3133037683979854,0.6109089272807616,0.0028521365355787787,0.0035063023777481056,0.36231535483710214
IND000003,21.6,M,East Asian,East Asian,,False,True,0.08790147135206039,0.00023329166389130667,0.6847966635573167,0.13525405906295643,0.09181451436377507,-0.4765310112353831
IND000004,60.2,M,European,European,,False,True,0.2424607463611891,0.5820697327582429,0.07266386678704265,0.10280560920220745,4.489131786818048e-08,0.17203876469897877
IND000005,21.8,M,East Asian,East Asian,European,True,True,0.05037462272825475,0.36392480643526304,0.5510723111624227,0.002926587801361208,0.031701671872698116,-1.350834025015021
IND000006,38.3,M,South Asian,South Asian,,False,True,0.06290058701259986,0.2593214795843133,0.0003836948335671678,0.5651134970789081,0.11228074149061154,2.587026289180509
IND000007,48.4,F,South Asian,American/Indigenous,,False,False,0.2580925197327453,0.08576009684898052,0.019377737967985153,0.38476143394728424,0.25200821150300495,-0.04425623770054905
IND000008,81.1,M,East Asian,East Asian,,False,True,0.05807605945434566,0.1373803078860825,0.6829617722844411,0.11481387447202818,0.006767985903102639,-2.32485064791548
IND000009,42.4,M,East Asian,East Asian,,False,True,0.06635442948618031,0.006500304249516339,0.5657649240742406,0.0011969396194453405,0.36018340257061743,1.0133155666409444
IND000010,31.0,M,East Asian,South Asian,,False,False,0.008725616010649723,0.029767598538949686,0.5571482500356154,0.379406754294038,0.024951781120747203,0.3675234716466853
IND000011,37.7,M,South Asian,South Asian,,False,True,0.09395315097623716,0.13622687603755418,0.07677458123644842,0.6301963363300515,0.06284905541970887,1.071082879209459
IND000012,26.5,M,African,African,,False,True,0.9739104686991819,0.023241369171909526,0.00017922923884182654,8.355980746947893e-08,0.0026688493302592896,-0.8240335771106392
IND000013,22.6,F,East Asian,East Asian,South Asian,True,True,0.020341700378179523,4.8709033633537445e-06,0.5228108418371261,0.344225725754177,0.11261686112715417,-0.8127506316477551
IND000014,46.1,F,American/Indigenous,American/Indigenous,,False,True,0.15992993569398137,0.0020500326588482505,0.18297925496700002,0.0992222824530423,0.5558184942271283,1.3809558584996449
IND000015,67.4,M,African,African,,False,True,0.8633134476560033,0.011991299773937317,0.03394691794629539,0.006549022326210731,0.08419931229755326,-0.28006082661847226
IND000016,85.0,M,American/Indigenous,American/Indigenous,South Asian,True,True,0.0005326079037924918,0.052946910439481035,0.021371924755500187,0.32952946477222256,0.5956190921290038,0.5292484414076013
IND000017,64.3,F,African,American/Indigenous,,False,False,0.945940172913727,1.2617988133800466e-07,0.001510328278301296,0.0029648427670900704,0.049584529861000204,-0.4372653469541319
IND000018,73.1,F,African,African,,False,True,0.49347799356673877,0.2113666766691671,1.3072949603368708e-05,0.06660157654958739,0.22854068026490346,0.1541828930744746
IND000019,36.1,M,East Asian,East Asian,,False,True,0.15378359754495438,0.2109549014601419,0.2933573852531982,0.07498096898651511,0.26692314675519047,-2.1244146032851154
IND000020,63.3,F,American/Indigenous,American/Indigenous,,False,True,0.00303118573321928,0.0019913263822779995,0.10873953424242366,0.001020614735641123,0.8852173389064381,0.32632436157073147
IND000021,32.4,M,East Asian,East Asian,African,True,True,0.35657663734231965,0.03330970164517911,0.6063766423240426,0.001968805301221821,0.001768213387236755,-1.428379035805078
IND000022,20.7,F,European,European,East Asian,True,True,0.08699598330041959,0.5161810127870948,0.39676592806682703,8.363433270860175e-06,4.871241238762364e-05,-1.0077737429909563
IND000023,44.7,M,American/Indigenous,American/Indigenous,African,True,True,0.2745831423239364,0.2661544852271882,0.025609931439531507,0.11424552570880596,0.31940691530053783,-0.9796313923251756
IND000024,49.6,F,East Asian,East Asian,,False,True,0.09793026327906554,0.029361854323805482,0.845443737103938,0.0006163105192331965,0.02664783477395769,-0.8606793085484794
IND000025,48.3,M,African,African,,False,True,0.8064588383596248,0.1051646653996729,0.00548405015228801,0.043495429196007816,0.039397016892406315,-0.41157551935702397
IND000026,22.2,M,South Asian,South Asian,African,True,True,0.2826035969861612,0.06873087017023519,0.04503541802265987,0.5972968534376434,0.006333261383300378,-0.32453377279793993
IND000027,40.8,M,South Asian,South Asian,,False,True,6.448763124111665e-05,0.08033656476621945,0.0242647320591513,0.8950992767055732,0.00023493883781474945,0.16141455660813409
IND000028,42.8,F,African,African,American/Indigenous,True,True,0.5087431813019884,0.13113648371644204,0.005949861960179822,0.0337645860173976,0.320405887003992,-0.5641165023775536
IND000029,21.3,F,American/Indigenous,East Asian,,False,False,1.8994331538783255e-05,0.16309957854833393,0.4110842198041255,0.0029542443264717988,0.42284296298953006,-0.03714344690419019
IND000030,18.0,M,European,European,,False,True,0.23700187864591368,0.48601248414708353,0.16759034977934306,0.05784945876602634,0.0515458286616334,1.4623208161460317
IND000031,64.7,M,East Asian,American/Indigenous,,False,False,0.0036384356583380496,0.064044885593251,0.8932090724001811,0.00019138578440481188,0.03891622056382479,-1.3550177742268894
IND000032,66.8,M,African,South Asian,,False,False,0.5672519315735206,0.11945791052705233,0.01401867087297474,0.2970399979545453,0.0022314890719070026,1.0888017756258426
IND000033,77.1,M,South Asian,South Asian,African,True,True,0.48464384491312307,0.011225813114550592,0.002733881031865918,0.4870353630880355,0.014361097852424913,-0.6387268464799504
